Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
BPL Pension	NATL GAS TRANSMISSION	2023-12-31	1.068	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Natwest Group PLC	2023-12-31	14.139	x1_000	EUR	0,09%	https://www.bplpensioen.nl/beleggen
BPL Pension	NBN CO LTD	2023-12-31	5.305	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Nederlandse Gasunie NV	2023-12-31	2.071	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Neste Oil OYJ	2023-12-31	4.189	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Nestle SA	2023-12-31	25.115	x1_000	EUR	0,15%	https://www.bplpensioen.nl/beleggen
BPL Pension	NetFlix Inc	2023-12-31	6.737	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	NN GROUP NV	2023-12-31	17.870	x1_000	EUR	0,11%	https://www.bplpensioen.nl/beleggen
BPL Pension	OMA SAASTOPANKKI OYJ	2023-12-31	22.460	x1_000	EUR	0,14%	https://www.bplpensioen.nl/beleggen
BPL Pension	OMV AG	2023-12-31	1.615	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	OP CORPORATE BANK PLC	2023-12-31	14.553	x1_000	EUR	0,09%	https://www.bplpensioen.nl/beleggen
BPL Pension	Orange SA	2023-12-31	11.706	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	ORIX Corp	2023-12-31	3.764	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	ORSTED A/S	2023-12-31	2.002	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	PepsiCo Inc /NC	2023-12-31	1.943	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	PERMANENT TSB GROUP	2023-12-31	2.420	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
